candidate,count,final,score
旗帜,12,180.1553247352962,15.01294372794135
注意,19,177.74097665255036,9.354788244871072
这样,33,177.33401718408405,5.373758096487395
女孩,24,176.9680012942909,7.373666720595454
另一,22,176.14129672909476,8.006422578595217
开始,18,175.47153236491326,9.748418464717403
贵族,16,174.96953468161237,10.935595917600773
班扬,14,174.60462641701307,12.471759029786648
王后,32,174.58449784630182,5.455765557696932
它们,24,173.44501903907792,7.226875793294914
队伍,15,173.17985326749636,11.545323551166424
奴隶,11,171.9449207830938,15.63135643482671
衣服,18,171.59786384785562,9.5332146582142
这个,39,171.37550803798345,4.394243795845729
早已,21,169.8530702679539,8.088241441331139
克爵士,29,168.57664793855918,5.812987859950317
可能,28,168.39475091374234,6.014098246919369
潘托斯,15,166.67290939113172,11.111527292742116
斗篷,12,164.74846593676327,13.729038828063606
年轻,24,164.5263407804722,6.855264199186341
模样,20,164.47854253480077,8.223927126740039
三叉戟,13,163.91641934863765,12.608955334510588
肩膀,15,163.75240442347436,10.916826961564958
大厅,19,162.61798780934203,8.55884146364958
房间,18,161.17684996057469,8.95426944225415
一切,23,159.4231005775173,6.93143915554423
叉戟,13,158.79342727449207,12.214879021114776
如何,19,157.64660786162634,8.297189887454017
永远,14,157.40220773141547,11.243014837958247
君临,14,157.40180390031426,11.242985992879591
毫无,14,156.03627502217594,11.14544821586971
瓦雷利亚,13,156.00462173976143,12.000355518443186
咱们,18,155.25347683325197,8.625193157402887
这种,24,154.42132498576944,6.4342218744070605
准备,12,153.98150914753703,12.83179242896142
辈子,18,153.5586811627942,8.531037842377454
丹妮莉丝,11,152.6524880511883,13.87749891374439
葛雷乔伊,14,151.08898602996211,10.79207043071158
神木林,12,149.60947074238965,12.467455895199137
学士,20,148.24058786933907,7.412029393466954
仔细,10,147.5646378425737,14.75646378425737
赛里斯,20,147.49560246478427,7.374780123239214
宛如,12,147.2331190150473,12.269426584587276
朋友,10,146.5595098775119,14.655950987751192
仍旧,12,146.55248157517212,12.212706797931009
离开,17,146.0087931512442,8.588752538308482
加入,17,145.0462666744391,8.532133333790535
叉戟河,13,143.79907800970523,11.061467539208094
戟河,13,143.70738653597988,11.05441434892153
那个,32,143.14151455311654,4.473172329784892
